Gene_symbol	Gene_Entrez_IDs
AAMP	14
AARS2	57505
AARS	16
AASDHPPT	60496
AATF	26574
ABCB7	22
ABCF1	23
ABHD11	83451
ABT1	29777
ACACA	31
ACLY	47
ACO2	50
ACSL3	2181
ACTL6A	86
ACTR10	55860
ACTR1A	10121
ACTR3	10096
ACTR6	64431
ACTR8	93973
ADAT3	113179
ADSL	158
AFG3L2	10939
AGO2	27161
AHCY	191
AIFM1	9131
AKIRIN2	55122
ALDOA	226
ALG11	440138
ALG13	79868
ALG14	199857
ALG1	56052
ALG2	85365
ALG8	79053
ALYREF	10189
ANAPC10	10393
ANAPC11	51529
ANAPC15	25906
ANAPC2	29882
ANAPC4	29945
ANAPC5	51433
ANKLE2	23141
ANKRD49	54851
ANKRD63	100131244
AQR	9716
ARCN1	372
ARFRP1	10139
ARGLU1	55082
ARIH1	25820
ARL2	402
ARMC7	79637
ARPC4	10093
ASCC3	10973
ASNA1	439
ASNS	440
ATF7	11016
ATIC	471
ATL2	64225
ATP13A1	57130
ATP1A1	476
ATP2A2	488
ATP5A1	498
ATP5B	506
ATP5C1	509
ATP5D	513
ATP5F1	515
ATP5I	521
ATP6AP2	10159
ATP6V0B	533
ATP6V0C	527
ATP6V0D1	9114
ATP6V1A	523
ATP6V1B2	526
ATP6V1C1	528
ATP6V1D	51382
ATP6V1E1	529
ATP6V1G1	9550
ATP6V1H	51606
ATR	545
ATRIP	84126
ATRX	546
ATXN7L3	56970
AURKAIP1	54998
AURKB	9212
BAHD1	22893
BAP1	8314
BARD1	580
BCAS2	10286
BCCIP	56647
BCL2L1	598
BCS1L	617
BDP1	55814
BIRC5	332
BLM	641
BMS1	9790
BNIP1	662
BOP1	23246
BORA	79866
BRAP	8315
BRAT1	221927
BRCA1	672
BRCA2	675
BRD2	6046
BRD4	23476
BRD8	10902
BRF1	2972
BRF2	55290
BRIX1	55299
BTAF1	9044
BUB1B	701
BUB3	9184
BUD13	84811
BUD31	8896
BYSL	705
C10orf2	56652
C11orf57	55216
C12orf45	121053
C12orf65	91574
C14orf178	283579
C14orf80	283643
C15orf41	84529
C16orf72	29035
C16orf80	29105
C18orf21	83608
C19orf52	90580
C1orf109	54955
C1orf131	128061
C1QBP	708
C21orf59	56683
C2orf49	79074
C3orf17	25871
C8orf33	65265
C9orf114	51490
C9orf78	51759
CACTIN	58509
CAD	790
CARS2	79587
CARS	833
CASC5	57082
CASP16	197350
CBLL1	79872
CCDC101	112869
CCDC115	84317
CCDC130	81576
CCDC64B	146439
CCDC84	338657
CCDC86	79080
CCDC94	55702
CCNA2	890
CCNB1	891
CCND1	595
CCNH	902
CCNK	8812
CCT2	10576
CCT3	7203
CCT4	10575
CCT5	22948
CCT6A	908
CCT7	10574
CD3EAP	10849
CDAN1	146059
CDC123	8872
CDC16	8881
CDC20	991
CDC23	8697
CDC25A	993
CDC37	11140
CDC45	8318
CDC5L	988
CDC6	990
CDC73	79577
CDCA3	83461
CDCA5	113130
CDCA8	55143
CDK12	51755
CDK2	1017
CDK9	1025
CDT1	81620
CEBPE	1053
CEBPZ	10153
CENPA	1058
CENPC1	1060
CENPE	1062
CENPF	1063
CENPI	2491
CENPJ	55835
CENPK	64105
CENPL	91687
CENPM	79019
CENPN	55839
CENPO	79172
CENPP	401541
CENPQ	55166
CENPT	80152
CENPW	387103
CEP152	22995
CEP192	55125
CEP57	9702
CEP85	64793
CEP97	79598
CFDP1	10428
CHAF1A	10036
CHAF1B	8208
CHD1	1105
CHD4	1108
CHEK1	1111
CHERP	10523
CHMP2A	27243
CHMP3	51652
CHMP4B	128866
CHMP6	79643
CIAO1	9391
CINP	51550
CIRH1A	84916
CKAP5	9793
CLASRP	11129
CLNS1A	1207
CLP1	10978
CLTC	1213
CNBP	7555
CNOT1	23019
CNOT2	4848
CNOT3	4849
COA3	28958
COA5	493753
COASY	80347
COG2	22796
COG3	83548
COG4	25839
COG8	84342
COL9A3	1299
COMTD1	118881
COPA	1314
COPB1	1315
COPB2	9276
COPE	11316
COPG1	22820
COPS3	8533
COPS4	51138
COPS5	10987
COPS6	10980
COPZ1	22818
COQ2	27235
COQ4	51117
COQ5	84274
COX10	1352
COX15	1355
COX4I1	1327
COX5B	1329
COX6B1	1340
CPOX	1371
CPSF1	29894
CPSF2	53981
CPSF3	51692
CPSF3L	54973
CPSF4	10898
CPSF6	11052
CRCP	27297
CRIPT	9419
CRKL	1399
CRLS1	54675
CRNKL1	51340
CSE1L	1434
CSNK1A1	1452
CSNK2B	1460
CSRP2BP	57325
CSTF1	1477
CSTF3	1479
CT62	196993
CTC1	80169
CTCF	10664
CTDNEP1	23399
CTDP1	9150
CTNNBL1	56259
CTPS1	1503
CTR9	9646
CTU1	90353
CTU2	348180
CUL1	8454
CUL2	8453
CUL3	8452
CWC22	57703
CWF19L2	143884
CYFIP1	23191
DAD1	1603
DAP3	7818
DARS2	55157
DARS	1615
DBR1	51163
DCAF7	10238
DCLRE1B	64858
