Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.136669386423148	0.00569049318173241	1
25836	142	NIPBL	PARP1	0.114455813358757	0.0207553754172316	1
9564	1956	BCAR1	EGFR	0.0705013981522493	0.155183480605611	1
1849	1956	DUSP7	EGFR	0.188023010683204	0.000133260612437321	1
1659	3845	DHX8	KRAS	0.0950512219798098	0.0550608806240427	1
9181	7157	ARHGEF2	TP53	0.106289062360642	0.0318386473436689	1
4486	6194	MST1R	RPS6	0.105938099435091	0.0324111493618175	1
56935	8883	SMCO4	NAE1	-0.114246002824994	0.0209914570810663	1
51011	8883	FAHD2A	NAE1	0.00728396555446788	0.883385048546715	1
26164	8883	MTG2	NAE1	-0.0416993518790448	0.400870884519643	1
11321	8883	GPN1	NAE1	0.206408508828554	2.64814774782899e-05	0.401035494931223
9283	8883	GPR37L1	NAE1	-0.082940100403725	0.0943171356622094	1
4616	8883	GADD45B	NAE1	-0.195907882875377	6.78583462864494e-05	1
2074	8883	ERCC6	NAE1	0.0700839919619213	0.157649260754248	1
414061	8883	DNAJB3	NAE1	-0.014982594232579	0.762863988398503	1
166979	8883	CDC20B	NAE1	0.0571387432768149	0.249507662010107	1
94235	8883	GNG8	NAE1	0.0223113439874133	0.653186171543573	1
84332	8883	DYDC2	NAE1	0.144763530396956	0.00338351223937032	1
80306	8883	MED28	NAE1	0.221708441018105	6.15664121093009e-06	0.0959758798371891
57135	8883	DAZ4	NAE1	0.0714873988669648	0.149474773598921	1
30850	8883	CDR2L	NAE1	-0.05253685140376	0.289751080683183	1
666	8883	BOK	NAE1	-0.237698072453818	1.1959265821397e-06	0.0191204741952496
2287	8883	FKBP3	NAE1	0.135774839324279	0.00601736136320147	1
353135	8883	LCE1E	NAE1	-0.0121018408467499	0.807459953786685	1
260436	8883	FDCSP	NAE1	-0.0798064084423813	0.107478007151082	1
146956	8883	EME1	NAE1	0.223723097386811	5.04069046836807e-06	0.0788162361634032
84541	8883	KBTBD8	NAE1	0.0287634665313829	0.562365916894929	1
84445	8883	LZTS2	NAE1	-0.0987274189145152	0.046267025676599	1
80162	8883	ATHL1	NAE1	-0.0185938748919835	0.708063639578259	1
57054	8883	DAZ3	NAE1	0.0407628858701322	0.411540814254777	1
55259	8883	CASC1	NAE1	0.0314349428179222	0.526627114771698	1
54584	8883	GNB1L	NAE1	-0.00651591427929973	0.895607122519255	1
51009	8883	DERL2	NAE1	-0.158883438563028	0.0012822699306857	1
28976	8883	ACAD9	NAE1	0.0433130614910032	0.38287768368108	1
22900	8883	CARD8	NAE1	-0.161811667561592	0.00103789105937625	1
10299	8883	MARCH6	NAE1	0.149007825092568	0.00254920503923839	1
10296	8883	MAEA	NAE1	0.131145028414698	0.0079936727043152	1
10116	8883	FEM1B	NAE1	0.0793557482431016	0.109484461390758	1
9973	8883	CCS	NAE1	-0.105683407317006	0.0328320927641315	1
9538	8883	EI24	NAE1	0.028573230641308	0.564954709923129	1
8943	8883	AP3D1	NAE1	0.00641170277461893	0.897267419742089	1
8535	8883	CBX4	NAE1	0.149377025833693	0.00248633044004935	1
8348	8883	HIST1H2BO	NAE1	0.000558177398879876	0.99103193406576	1
3936	8883	LCP1	NAE1	-0.154701088880248	0.0017237626639026	1
3354	8883	HTR1E	NAE1	-0.00829709274986458	0.867305725535925	1
3091	8883	HIF1A	NAE1	0.0275170850015061	0.579429969552103	1
2730	8883	GCLM	NAE1	0.0142850164283297	0.773597364749746	1
2073	8883	ERCC5	NAE1	-0.116748468833059	0.0183222421179423	1
1773	8883	DNASE1	NAE1	-0.00627925238507605	0.899378264740312	1
388759	8883	C1orf229	NAE1	-0.00217476952824397	0.965069033152933	1
341640	8883	FREM2	NAE1	0.0568402552403846	0.251993526818207	1
255252	8883	LRRC57	NAE1	0.0149368374508104	0.763566666000359	1
137797	8883	LYPD2	NAE1	-0.0467547174279325	0.346184049348112	1
137075	8883	CLDN23	NAE1	-0.0347552720346297	0.483877488257461	1
114897	8883	C1QTNF1	NAE1	-0.155599706907347	0.00161856944005592	1
91750	8883	LIN52	NAE1	0.11623749750536	0.0188418469274539	1
91319	8883	DERL3	NAE1	-0.148891297725476	0.00256934829430829	1
1018	8883	CDK3	NAE1	-0.0498650466438181	0.315012659488213	1
3916	8883	LAMP1	NAE1	-0.117150225747907	0.0179225168627767	1
222611	8883	GPR111	NAE1	-0.0311608349755499	0.530240219255906	1
79852	8883	EPHX3	NAE1	0.0299006437758019	0.547011013353226	1
51390	8883	AIG1	NAE1	-0.0610648864658243	0.218392123289608	1
2355	8883	FOSL2	NAE1	0.0247678257169193	0.617901135646334	1
1973	8883	EIF4A1	NAE1	0.0276929172605044	0.577008064793965	1
1852	8883	DUSP9	NAE1	-0.0380953747784612	0.442839794216534	1
143244	8883	EIF5AL1	NAE1	0.0363129122573071	0.464488592779756	1
125972	8883	CALR3	NAE1	0.0339856609829112	0.493616354383746	1
84253	8883	GARNL3	NAE1	-0.0768280374562822	0.121290430460942	1
56605	8883	ERO1LB	NAE1	0.0378214828169373	0.446128477784889	1
958	8883	CD40	NAE1	-0.199813532578513	4.80911100176161e-05	0.719491096973554
27113	8883	BBC3	NAE1	-0.0781918222594266	0.114803141385862	1
917	8883	CD3G	NAE1	-0.173476471983325	0.000431502697073074	1
57472	8883	CNOT6	NAE1	0.15783586369244	0.0013818405840067	1
57055	8883	DAZ2	NAE1	0.0266281891227322	0.591745723277639	1
55173	8883	MRPS10	NAE1	0.0456819792180241	0.357374046499276	1
53942	8883	CNTN5	NAE1	0.0289081101169358	0.560401386516304	1
51237	8883	MZB1	NAE1	-0.123106248883621	0.012829497179871	1
