Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.0366563484053532	0.224028391467434	1
25836	142	NIPBL	PARP1	0.153857347669591	2.86224171626711e-07	0.00378560089393488
9564	1956	BCAR1	EGFR	0.0450135365876879	0.135346164945311	1
1849	1956	DUSP7	EGFR	0.111082977095377	0.000220052616935871	1
1659	3845	DHX8	KRAS	0.146453813802085	1.04712800495759e-06	0.0135215639280174
9181	7157	ARHGEF2	TP53	0.157616540968838	1.4463023957487e-07	0.00193486334503261
4486	6194	MST1R	RPS6	-0.110077566941696	0.000251074757028499	1
56935	8883	SMCO4	NAE1	0.236207966098955	1.941259240451e-15	3.0642777110519e-11
51011	8883	FAHD2A	NAE1	0.216615457497432	3.6171755831163e-13	5.53464035972625e-09
26164	8883	MTG2	NAE1	0.0410902302678002	0.172858952708214	1
11321	8883	GPN1	NAE1	0.381214476243411	1.94260506143549e-39	3.53107322017128e-35
9283	8883	GPR37L1	NAE1	0.0302724950984451	0.315365588479366	1
4616	8883	GADD45B	NAE1	-0.191689643313713	1.40115532560143e-10	2.03882111428264e-06
2074	8883	ERCC6	NAE1	0.117543517947504	9.18550287712543e-05	1
414061	8883	DNAJB3	NAE1	0.0898260020489117	0.00283996252476253	1
166979	8883	CDC20B	NAE1	-0.0938013305896182	0.00182573797076581	1
94235	8883	GNG8	NAE1	-0.0325172458016709	0.28080391884619	1
84332	8883	DYDC2	NAE1	-0.0252498915311227	0.402374867801719	1
80306	8883	MED28	NAE1	-0.0251986448454371	0.403330855520299	1
30850	8883	CDR2L	NAE1	0.0749325424893661	0.0128404067875596	1
666	8883	BOK	NAE1	-0.165710292212137	3.14735713614284e-08	0.000430904665509317
2287	8883	FKBP3	NAE1	0.0563946340389459	0.0612809551534309	1
353135	8883	LCE1E	NAE1	-0.0230389149951465	0.444842134430944	1
260436	8883	FDCSP	NAE1	0.0604852992530787	0.0447014810949215	1
146956	8883	EME1	NAE1	0.229285874032084	1.30121736243844e-14	2.03159066797514e-10
84541	8883	KBTBD8	NAE1	0.0763118022865083	0.0112737556709708	1
84445	8883	LZTS2	NAE1	-0.121772988082144	5.05808252153164e-05	0.59700548001638
80162	8883	ATHL1	NAE1	-0.167726121802258	2.12741238869945e-08	0.000292944685923915
55259	8883	CASC1	NAE1	-0.199553107751703	2.32089696593404e-11	3.43608795806534e-07
54584	8883	GNB1L	NAE1	0.0826693166686359	0.00603434520979092	1
51009	8883	DERL2	NAE1	0.038184225202199	0.205297777825922	1
28976	8883	ACAD9	NAE1	0.141745602734976	2.3128211202829e-06	0.0294653410724041
22900	8883	CARD8	NAE1	-0.1726840769576	7.9565953628542e-09	0.000111161593814436
10299	8883	MARCH6	NAE1	0.00288855298190586	0.92369459253679	1
10296	8883	MAEA	NAE1	-0.128864182241099	1.77972788788635e-05	0.216521694840253
10116	8883	FEM1B	NAE1	-0.0174106490250634	0.563697343206066	1
9973	8883	CCS	NAE1	-0.124780008684605	3.27015894146253e-05	0.390685888736528
9538	8883	EI24	NAE1	0.301996935913945	1.13321031042705e-24	1.94118926176154e-20
8943	8883	AP3D1	NAE1	-0.0683094031451255	0.023347440649117	1
8535	8883	CBX4	NAE1	-0.121007981738697	5.64267678079692e-05	0.663522362653909
8348	8883	HIST1H2BO	NAE1	0.0792462561395002	0.00849229502653412	1
3936	8883	LCP1	NAE1	0.117689841992804	9.00078878271589e-05	1
3354	8883	HTR1E	NAE1	-0.0103360724418832	0.73179407235019	1
3091	8883	HIF1A	NAE1	0.205178270155833	6.1239362366157e-12	9.17181930157933e-08
2730	8883	GCLM	NAE1	0.32107562421708	7.64132153143552e-28	1.33050690505355e-23
2073	8883	ERCC5	NAE1	-0.0612936732533892	0.0419181185653307	1
1773	8883	DNASE1	NAE1	-0.0399868987695963	0.184692494817474	1
388759	8883	C1orf229	NAE1	0.0746454280400053	0.01318973853912	1
341640	8883	FREM2	NAE1	-0.00604484085074613	0.841135726507701	1
255252	8883	LRRC57	NAE1	0.0553218629881234	0.0663861090322136	1
137797	8883	LYPD2	NAE1	0.0114934701980122	0.70311328421118	1
137075	8883	CLDN23	NAE1	0.213884682523654	7.21323912825583e-13	1.09850418684208e-08
114897	8883	C1QTNF1	NAE1	-0.0431570454286668	0.152229967015124	1
91750	8883	LIN52	NAE1	-0.0575738788711953	0.0560482106473888	1
91319	8883	DERL3	NAE1	0.0137148153352977	0.649262493347128	1
1018	8883	CDK3	NAE1	-0.0370212915703149	0.219447240508222	1
3916	8883	LAMP1	NAE1	0.0953911636118412	0.00152292225104681	1
222611	8883	GPR111	NAE1	0.0365340467706196	0.225578819971537	1
79852	8883	EPHX3	NAE1	0.0680771589857538	0.023822923697785	1
51390	8883	AIG1	NAE1	-0.0676148991679645	0.0247943390343199	1
2355	8883	FOSL2	NAE1	-0.152088100441036	3.9245560161904e-07	0.00516000625008713
1973	8883	EIF4A1	NAE1	0.287693929876519	1.91233081568468e-22	3.23030921385457e-18
1852	8883	DUSP9	NAE1	0.222892384273157	7.14473152856162e-14	1.1037181265322e-09
143244	8883	EIF5AL1	NAE1	0.324852405897786	1.6888965751916e-28	2.95438677898266e-24
125972	8883	CALR3	NAE1	-0.0230391038952824	0.444838400382671	1
84253	8883	GARNL3	NAE1	-0.246112171403937	1.14611744713684e-16	1.83848699695221e-12
56605	8883	ERO1LB	NAE1	-0.132670716680928	9.92796825939209e-06	0.122709687686086
958	8883	CD40	NAE1	0.0651048479712234	0.0306887072245886	1
27113	8883	BBC3	NAE1	-0.286595526483624	2.80158510934919e-22	4.72823518904862e-18
917	8883	CD3G	NAE1	0.014277130802891	0.635902591190815	1
57472	8883	CNOT6	NAE1	0.0340081792242645	0.259322593466542	1
57055	8883	DAZ2	NAE1	-0.0170232134209022	0.572407969055853	1
55173	8883	MRPS10	NAE1	0.253417786593758	1.30967739024117e-17	2.12154640445167e-13
53942	8883	CNTN5	NAE1	0.00267614283744423	0.929290445324923	1
51237	8883	MZB1	NAE1	0.0107347544471626	0.721869865044144	1
29933	8883	GPR132	NAE1	-0.142536038883359	2.02827446871947e-06	0.0259071497889538
940	8883	CD28	NAE1	-0.0111228121826652	0.712254797318231	1
23591	8883	FAM215A	NAE1	-0.0237446388681415	0.431016943787562	1
23148	8883	NACAD	NAE1	-0.0299094274868252	0.321207288548002	1
10913	8883	EDAR	NAE1	0.0848050642456165	0.00484590208431362	1
10281	8883	DSCR4	NAE1	0.0361211460651769	0.230869669528647	1
10120	8883	ACTR1B	NAE1	-0.0749156750897309	0.012860700997771	1
9747	8883	FAM115A	NAE1	-0.00748147699555813	0.804072815230068	1
9721	8883	GPRIN2	NAE1	0.148581776790404	7.25896691071188e-07	0.00943375339716116
9529	8883	BAG5	NAE1	0.0677841682210211	0.0244347242027166	1
8850	8883	KAT2B	NAE1	-0.0252531015251166	0.402315031758341	1
8739	8883	HRK	NAE1	0.202691535615338	1.1089165701983e-11	1.6536163894797e-07
8357	8883	HIST1H3H	NAE1	0.0383749833155359	0.203041512501055	1
8352	8883	HIST1H3C	NAE1	0.164009303292762	4.36390956901663e-08	0.000595019069735417
664	8883	BNIP3	NAE1	0.231204513989236	7.72668674380758e-15	1.21069454588721e-10
575	8883	BAI1	NAE1	0.0870521161904861	0.00382764400903833	1
5606	8883	MAP2K3	NAE1	0.182564831161611	1.02806075704532e-09	1.46735111853078e-05
4054	8883	LTBP3	NAE1	-0.318940669008712	1.77678934355894e-27	3.08930363164593e-23
3934	8883	LCN2	NAE1	0.0958691490793631	0.00144135582839541	1
3727	8883	JUND	NAE1	-0.129043404838414	1.73210968646193e-05	0.210901675423605
3726	8883	JUNB	NAE1	-0.215647513671014	4.62470314934907e-13	7.0656214715755e-09
3605	8883	IL17A	NAE1	0.0958724291271131	0.00144081026353989	1
3553	8883	IL1B	NAE1	0.0918356250818521	0.00227624096121499	1
3004	8883	GZMM	NAE1	-0.0922408829582794	0.00217578792269248	1
3001	8883	GZMA	NAE1	0.0141413584790368	0.639117766307153	1
1974	8883	EIF4A2	NAE1	0.0482653213031638	0.10929960933344	1
1848	8883	DUSP6	NAE1	0.0327255463141986	0.277732288321956	1
1613	8883	DAPK3	NAE1	-0.124431422454815	3.44150735232695e-05	0.410675072353174
401250	8883	MCCD1	NAE1	-0.0821544326201943	0.0063575101544437	1
389320	8883	C5orf48	NAE1	0.0108826660726285	0.718199722564435	1
388125	8883	C2CD4B	NAE1	-0.081109846843381	0.00706133915514138	1
374393	8883	FAM111B	NAE1	0.272507716446525	3.23469619852692e-20	5.37315385537307e-16
1459	8883	CSNK2A2	NAE1	0.630872569189269	2.28349840205882e-123	4.59462713478256e-119
339184	8883	CCDC144NL	NAE1	0.0615527055149425	0.0410578130136942	1
246176	8883	GAS2L2	NAE1	-0.0663143924493849	0.0277131514644263	1
162989	8883	DEDD2	NAE1	-0.0381634545370632	0.205544545279308	1
148362	8883	BROX	NAE1	0.0336999080615047	0.26366822913148	1
146723	8883	C17orf77	NAE1	0.0430322570895681	0.153419851075092	1
1212	8883	CLTB	NAE1	-0.0577547597552555	0.0552794385180655	1
140625	8883	ACTRT2	NAE1	0.0360233930665247	0.232135051685993	1
139324	8883	HDX	NAE1	0.0829038693068662	0.00589209033503784	1
130916	8883	MTERFD2	NAE1	-0.199795656150303	2.19307155544569e-11	3.24903550939279e-07
127428	8883	TCEANC2	NAE1	0.0377392432320106	0.210631594462125	1
119032	8883	C10orf32	NAE1	-0.377582648846174	1.15196565902052e-38	2.0885137398042e-34
113655	8883	MFSD3	NAE1	-0.0491169314782535	0.103178077562291	1
92196	8883	DAPL1	NAE1	0.0422311971024716	0.161226909849105	1
84939	8883	MUM1	NAE1	-0.306297817921239	2.28911979244518e-25	3.93522583519251e-21
84318	8883	CCDC77	NAE1	0.371321584450448	2.35119453844968e-37	4.2446115002632e-33
84317	8883	CCDC115	NAE1	-0.140686451131631	2.7546097168858e-06	0.0349890526238834
83933	8883	HDAC10	NAE1	-0.178434331210511	2.45262737656294e-09	3.47144878878719e-05
79885	8883	HDAC11	NAE1	-0.234620054750207	3.01983019985493e-15	4.75562859873154e-11
79370	8883	BCL2L14	NAE1	0.055960627445416	0.063305807273752	1
79086	8883	SMIM7	NAE1	-0.162813409160091	5.48007480719244e-08	0.000744358561060949
79065	8883	ATG9A	NAE1	0.169579692366482	1.477851403178e-08	0.00020465286231209
9447	4609	AIM2	MYC	0.0926652663630151	0.00207495802877927	1
79577	4893	CDC73	NRAS	0.174219188702342	5.83363453748206e-09	8.1805057119111e-05
79577	3845	CDC73	KRAS	0.34483071367339	4.00219541015498e-32	7.10589795073016e-28
79577	3265	CDC73	HRAS	-0.39933081027034	1.92053881724905e-43	3.5295662383403e-39
2946	8883	GSTM2	NAE1	-0.15468486046403	2.46634855428543e-07	0.00327161135725962
2071	8883	ERCC3	NAE1	0.199903772868278	2.13833565130425e-11	3.16858576810263e-07
414301	8883	DDI1	NAE1	-0.0704643184144022	0.0193140004853241	1
347516	8883	DGAT2L6	NAE1	0.0168250039633293	0.576888814889918	1
201895	8883	SMIM14	NAE1	-0.248274603912598	6.07510618080302e-17	9.77606086614822e-13
83641	8883	FAM107B	NAE1	0.0143521896744894	0.634128080808502	1
65123	8883	INTS3	NAE1	-0.154812116925296	2.41035991878505e-07	0.00319806554024401
64976	8883	MRPL40	NAE1	-0.0015367377733508	0.959360363736485	1
63901	8883	FAM111A	NAE1	-0.114447877981016	0.000140400953574594	1
57596	8883	BEGAIN	NAE1	0.0326526135944766	0.278805155185734	1
57102	8883	C12orf4	NAE1	0.313428412746677	1.52121256017457e-26	2.63337106291819e-22
1538	8883	CYLC1	NAE1	0.0561236601268741	0.0625387986252163	1
54955	8883	C1orf109	NAE1	0.204468440057456	7.26062741426278e-12	1.08640767999614e-07
54014	8883	BRWD1	NAE1	-0.0422688770040858	0.160853093643289	1
30844	8883	EHD4	NAE1	-0.189719016365741	2.1731062948518e-10	3.14948295312872e-06
25901	8883	CCDC28A	NAE1	-0.121603424855682	5.18248666876395e-05	0.611326127447395
23254	8883	KAZN	NAE1	0.0378392249394537	0.209424520005291	1
23172	8883	FAM175B	NAE1	0.0836471437134511	0.00546101814850989	1
3119	8883	HLA-DQB1	NAE1	-0.0476179078572119	0.114142443914872	1
3065	8883	HDAC1	NAE1	0.13135761506129	1.21645698884865e-05	0.149453905649945
3029	8883	HAGH	NAE1	-0.139866149603442	3.15123177417368e-06	0.0399040479563613
2717	8883	GLA	NAE1	-0.0807761326832122	0.00730048548928194	1
2668	8883	GDNF	NAE1	0.0129886597704646	0.666682604150963	1
1815	8883	DRD4	NAE1	-0.125867395067001	2.78616085158556e-05	0.334478610232846
1676	8883	DFFA	NAE1	0.201279435894546	1.54833975512235e-11	2.3020715479159e-07
286	8883	ANK1	NAE1	0.00153630342505111	0.959371840327972	1
123103	8883	KLHL33	NAE1	-0.203322713484368	9.54462773026397e-12	1.4247265812965e-07
