Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.0402667291182535	0.495337413632248	1
25836	142	NIPBL	PARP1	0.105077759828733	0.0745015845255648	1
9564	1956	BCAR1	EGFR	0.190263428769874	0.00115323782983897	1
1849	1956	DUSP7	EGFR	0.101677955641542	0.084435860164833	1
1659	3845	DHX8	KRAS	0.0368396716629542	0.532777333683293	1
9181	7157	ARHGEF2	TP53	0.0537627101047541	0.362472523597815	1
4486	6194	MST1R	RPS6	-0.219263410230233	0.000171863364571329	1
56935	8883	SMCO4	NAE1	-0.222449014422792	0.000137218326354968	1
51011	8883	FAHD2A	NAE1	0.230787442120044	7.4958635412362e-05	1
26164	8883	MTG2	NAE1	0.241090007072531	3.44249973297573e-05	0.516891334906306
11321	8883	GPN1	NAE1	0.456369269825968	2.84022149391469e-16	5.29218470961124e-12
9283	8883	GPR37L1	NAE1	-0.123526099591	0.0358268108174393	1
4616	8883	GADD45B	NAE1	-0.246100818491856	2.32828874503552e-05	0.352945290859935
2074	8883	ERCC6	NAE1	-0.125614205325936	0.0327897023454538	1
414061	8883	DNAJB3	NAE1	0.019461750095931	0.741817778958665	1
166979	8883	CDC20B	NAE1	-0.0506796469654743	0.390687164705599	1
94235	8883	GNG8	NAE1	-0.0584035360662906	0.322466519378525	1
84332	8883	DYDC2	NAE1	0.0686703896904459	0.244540969167653	1
80306	8883	MED28	NAE1	0.308864560670146	8.34286225212467e-08	0.00138574942007791
57135	8883	DAZ4	NAE1	-0.0455913399786844	0.440057952923299	1
30850	8883	CDR2L	NAE1	-0.348031404204889	1.18627690857554e-09	2.04656492267453e-05
666	8883	BOK	NAE1	-0.133344195927054	0.02338041326238	1
2287	8883	FKBP3	NAE1	0.348929742057969	1.06834207570368e-09	1.84459942790997e-05
353135	8883	LCE1E	NAE1	0.0277640836590543	0.638330371563078	1
260436	8883	FDCSP	NAE1	-0.125079892355838	0.0335451827347696	1
146956	8883	EME1	NAE1	0.244199946408722	2.70327424033391e-05	0.408410672229647
84541	8883	KBTBD8	NAE1	0.114690315753133	0.0514488302978509	1
84445	8883	LZTS2	NAE1	-0.202190860651356	0.000543934076019904	1
80162	8883	ATHL1	NAE1	0.112276410965377	0.0565906698805932	1
57054	8883	DAZ3	NAE1	-0.0632789761588047	0.283650285862755	1
55259	8883	CASC1	NAE1	0.034960056366481	0.553899999106625	1
54584	8883	GNB1L	NAE1	0.184580987582489	0.00162490182226192	1
51009	8883	DERL2	NAE1	-0.000978611438850977	0.986784206698239	1
28976	8883	ACAD9	NAE1	0.0887688466168295	0.132194611988873	1
22900	8883	CARD8	NAE1	-0.266164508312896	4.47045569379499e-06	0.0700252179876047
10299	8883	MARCH6	NAE1	-0.121425177030268	0.0391201340595627	1
10296	8883	MAEA	NAE1	-0.0431448147114108	0.465009217664342	1
10116	8883	FEM1B	NAE1	-0.142458074307297	0.0153647580576257	1
9973	8883	CCS	NAE1	0.0518078824678191	0.380211619931922	1
9538	8883	EI24	NAE1	0.245828674884721	2.3787767393749e-05	0.360503614852265
8943	8883	AP3D1	NAE1	-0.290008459773452	5.24822896086022e-07	0.00850685432265832
8535	8883	CBX4	NAE1	-0.121577636197601	0.0388728284844117	1
8348	8883	HIST1H2BO	NAE1	-0.0224326581341996	0.704130829906257	1
3936	8883	LCP1	NAE1	-0.281627377988386	1.14019280473371e-06	0.0182795710454908
3354	8883	HTR1E	NAE1	-0.0830870340558376	0.158895779274675	1
3091	8883	HIF1A	NAE1	-0.278088053729421	1.57040966594131e-06	0.0250433229427661
2730	8883	GCLM	NAE1	0.132336374755742	0.0244570430615747	1
2073	8883	ERCC5	NAE1	-0.058856557797537	0.318720932372511	1
1773	8883	DNASE1	NAE1	0.0878360109822102	0.136323849189719	1
388759	8883	C1orf229	NAE1	0.0764415537928908	0.195054331686301	1
341640	8883	FREM2	NAE1	-0.00742436511866719	0.899993989150024	1
255252	8883	LRRC57	NAE1	0.12904919124027	0.0282707755158805	1
137797	8883	LYPD2	NAE1	-0.156785895099965	0.00757737234458342	1
137075	8883	CLDN23	NAE1	-0.133691654220042	0.0230188415353762	1
