Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.0257721443598177	0.739431282898796	1
25836	142	NIPBL	PARP1	0.488623497456937	1.58673683680183e-11	2.96370706377845e-07
9564	1956	BCAR1	EGFR	-0.110529397254683	0.152543408890815	1
1849	1956	DUSP7	EGFR	-0.177980109769982	0.0206083010186583	1
1659	3845	DHX8	KRAS	0.0122061969329296	0.874843920688715	1
9181	7157	ARHGEF2	TP53	0.114185414197809	0.139345499352503	1
4486	6194	MST1R	RPS6	-0.0489572529772844	0.527321563498182	1
56935	8883	SMCO4	NAE1	-0.122929283004407	0.111325113797434	1
51011	8883	FAHD2A	NAE1	0.0478449228873329	0.536758804428649	1
26164	8883	MTG2	NAE1	-0.137401620682888	0.074843355592633	1
11321	8883	GPN1	NAE1	0.451420820807777	7.27870770530051e-10	1.33069334268304e-05
9283	8883	GPR37L1	NAE1	-0.140127242927561	0.0692002091273902	1
4616	8883	GADD45B	NAE1	-0.209717651647231	0.00620785244777262	1
2074	8883	ERCC6	NAE1	-0.199819185620124	0.0091956697865386	1
414061	8883	DNAJB3	NAE1	-0.0824711662457957	0.286430338905398	1
166979	8883	CDC20B	NAE1	-0.107720578080918	0.163307305073414	1
94235	8883	GNG8	NAE1	-0.0281121314402456	0.716741516390867	1
84332	8883	DYDC2	NAE1	0.0599416046563891	0.438839741549935	1
80306	8883	MED28	NAE1	0.479293794863273	4.32652621382218e-11	8.03608978955332e-07
57135	8883	DAZ4	NAE1	-0.060972950185686	0.430990058415104	1
30850	8883	CDR2L	NAE1	-0.462310400719928	2.49000841867203e-10	4.5855995038264e-06
666	8883	BOK	NAE1	-0.206504531229986	0.00706567809546974	1
2287	8883	FKBP3	NAE1	0.269243604004639	0.000400452399183902	1
353135	8883	LCE1E	NAE1	-0.0259490598418098	0.73770765182028	1
260436	8883	FDCSP	NAE1	-0.0594478029038299	0.442626750056879	1
146956	8883	EME1	NAE1	0.225496162531732	0.00320089362361727	1
84541	8883	KBTBD8	NAE1	0.221310773131474	0.00383246932798531	1
84445	8883	LZTS2	NAE1	-0.332490482272299	1.00260550274676e-05	0.165921184649562
80162	8883	ATHL1	NAE1	-0.0986755640656655	0.201821494767578	1
57054	8883	DAZ3	NAE1	-0.00803751533863652	0.917396402184113	1
55259	8883	CASC1	NAE1	0.25575380158679	0.000790449118259913	1
54584	8883	GNB1L	NAE1	-0.0647739934508925	0.402766019847774	1
51009	8883	DERL2	NAE1	0.274281816610704	0.000307785778250492	1
28976	8883	ACAD9	NAE1	-0.156949773791529	0.0415647876771025	1
22900	8883	CARD8	NAE1	-0.0167137185862983	0.829236550399758	1
10299	8883	MARCH6	NAE1	-0.074504682570538	0.335692441169713	1
10296	8883	MAEA	NAE1	0.032449056774347	0.675349666289488	1
10116	8883	FEM1B	NAE1	0.30495844199319	5.54234594542972e-05	0.88683077472821
9973	8883	CCS	NAE1	-0.160832971860464	0.0367140374467427	1
9538	8883	EI24	NAE1	0.290817230710389	0.000125153077525716	1
8943	8883	AP3D1	NAE1	-0.318465448005878	2.44606191806785e-05	0.398243340880627
8535	8883	CBX4	NAE1	-0.155165091074423	0.0439683427841766	1
8348	8883	HIST1H2BO	NAE1	0.00261544818207416	0.973077673429172	1
3936	8883	LCP1	NAE1	-0.294796789643785	9.99396257300784e-05	1
3354	8883	HTR1E	NAE1	-0.129103056095874	0.0943485692261504	1
3091	8883	HIF1A	NAE1	-0.132914786556998	0.0849391443551776	1
2730	8883	GCLM	NAE1	-0.0500010788481448	0.51854246613101	1
2073	8883	ERCC5	NAE1	-0.0579057517037095	0.454571361116866	1
1773	8883	DNASE1	NAE1	-0.0630488453323226	0.41543731620822	1
388759	8883	C1orf229	NAE1	0.274957836832401	0.00029699134333811	1
