Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.0590665337904453	0.178252225336903	1
25836	142	NIPBL	PARP1	0.180923764673849	3.26609101550066e-05	0.444645630850259
9564	1956	BCAR1	EGFR	0.137704996048637	0.00162908990029577	1
1849	1956	DUSP7	EGFR	0.113371234033718	0.00960077775605299	1
1659	3845	DHX8	KRAS	0.121374181413555	0.00553673555558233	1
9181	7157	ARHGEF2	TP53	0.149895909677115	0.000597751399845948	1
4486	6194	MST1R	RPS6	0.0257267249430795	0.557936027156875	1
56935	8883	SMCO4	NAE1	-0.0401547236341463	0.360340679474844	1
51011	8883	FAHD2A	NAE1	0.19425423520054	7.97345242228509e-06	0.112306077367885
26164	8883	MTG2	NAE1	0.0535208898466588	0.222625258224733	1
11321	8883	GPN1	NAE1	0.431786444771707	4.48204447286632e-25	8.32584581279648e-21
9283	8883	GPR37L1	NAE1	0.108203544532287	0.0134691117694268	1
4616	8883	GADD45B	NAE1	-0.0792177239255785	0.070812933695338	1
2074	8883	ERCC6	NAE1	-0.0279633966340248	0.52421090763898	1
414061	8883	DNAJB3	NAE1	0.0471752856910413	0.282460670769553	1
166979	8883	CDC20B	NAE1	0.0377242815348451	0.39016926534856	1
94235	8883	GNG8	NAE1	-0.115776981081281	0.00816397469743643	1
84332	8883	DYDC2	NAE1	0.0106970203463705	0.807552599203979	1
80306	8883	MED28	NAE1	0.144981416636968	0.000903840580271138	1
57135	8883	DAZ4	NAE1	0.0719650143017597	0.100835912759157	1
30850	8883	CDR2L	NAE1	0.155673445280758	0.000361719882173778	1
666	8883	BOK	NAE1	-0.0398405124979721	0.364114570279759	1
2287	8883	FKBP3	NAE1	0.306711348607593	8.23300977859061e-13	1.38775612827923e-08
353135	8883	LCE1E	NAE1	-0.0433954150547805	0.322856237881175	1
260436	8883	FDCSP	NAE1	-0.053594441841338	0.221989309120374	1
146956	8883	EME1	NAE1	0.0965962541693727	0.0274742719754865	1
84541	8883	KBTBD8	NAE1	0.00362907131472453	0.934140653461054	1
84445	8883	LZTS2	NAE1	0.0211591717115125	0.62990469797027	1
80162	8883	ATHL1	NAE1	0.0507761949830198	0.247292443855583	1
57054	8883	DAZ3	NAE1	0.0567392185581461	0.196001412864778	1
55259	8883	CASC1	NAE1	-0.0366208318737419	0.40419186972104	1
54584	8883	GNB1L	NAE1	0.046249277166169	0.292025918220201	1
51009	8883	DERL2	NAE1	0.22438639447211	2.27236657388188e-07	0.00343649996968156
28976	8883	ACAD9	NAE1	0.0240316383594787	0.584176849429916	1
22900	8883	CARD8	NAE1	-0.238419345691207	3.61728427959761e-08	0.000559847087953322
10299	8883	MARCH6	NAE1	0.035454760827116	0.419332338298253	1
10296	8883	MAEA	NAE1	-0.101078110624341	0.0210257519572775	1
10116	8883	FEM1B	NAE1	0.0269098799278526	0.539965532532267	1
9973	8883	CCS	NAE1	-0.00175839756061334	0.968061396630357	1
9538	8883	EI24	NAE1	0.243590583271785	1.78386994743361e-08	0.0002781053248049
8943	8883	AP3D1	NAE1	-0.0250606388762439	0.568178995459343	1
8535	8883	CBX4	NAE1	-0.00887435074386687	0.839855532582746	1
8348	8883	HIST1H2BO	NAE1	0.110969024486764	0.011255528498824	1
3936	8883	LCP1	NAE1	-0.26843607403801	4.75147581493797e-10	7.66888196530989e-06
3354	8883	HTR1E	NAE1	0.0216078345890494	0.622662209706824	1
3091	8883	HIF1A	NAE1	0.0936830553711118	0.0325229839628207	1
2730	8883	GCLM	NAE1	0.0986401901299496	0.0243482071850657	1
2073	8883	ERCC5	NAE1	-0.110552346182341	0.0115669480610693	1
1773	8883	DNASE1	NAE1	0.0361105034514042	0.410777524038795	1
388759	8883	C1orf229	NAE1	0.121067542488783	0.00565808214080615	1
341640	8883	FREM2	NAE1	0.02239673278326	0.610015709006894	1
255252	8883	LRRC57	NAE1	0.300034786059624	2.67656834211487e-12	4.47870180686082e-08
137797	8883	LYPD2	NAE1	0.0782549192805164	0.0743182596003378	1
137075	8883	CLDN23	NAE1	-0.173388486207086	6.94004286832313e-05	0.92462191134669
114897	8883	C1QTNF1	NAE1	-0.178781275930313	4.05948604041902e-05	0.549897979035161
91750	8883	LIN52	NAE1	0.104318506057997	0.0172237186411853	1
91319	8883	DERL3	NAE1	-0.202486496295213	3.17614352215804e-06	0.0457396428625979
1018	8883	CDK3	NAE1	-0.0691774582875513	0.114772053739887	1
3916	8883	LAMP1	NAE1	-0.029156586598433	0.506655642280425	1
222611	8883	GPR111	NAE1	-0.0665052865637624	0.129508204680052	1
79852	8883	EPHX3	NAE1	-0.0447239845514727	0.308249556182776	1
51390	8883	AIG1	NAE1	0.306150462887998	9.10077275268623e-13	1.5333892011001e-08
2355	8883	FOSL2	NAE1	-0.238136545697106	3.75811889598892e-08	0.000581418574398446
1973	8883	EIF4A1	NAE1	0.273225193157154	2.25951152965966e-10	3.6687688707084e-06
1852	8883	DUSP9	NAE1	0.215989123136256	6.45545448136524e-07	0.00960248854103079
143244	8883	EIF5AL1	NAE1	0.323550386107227	3.67367505875931e-14	6.29778115323108e-10
125972	8883	CALR3	NAE1	-0.0356746344279685	0.416452293056529	1
84253	8883	GARNL3	NAE1	-0.032403602330589	0.460488134265284	1
56605	8883	ERO1LB	NAE1	-0.189124360907085	1.38797636214937e-05	0.193081391738598
958	8883	CD40	NAE1	-0.0971599919560036	0.0265793649375136	1
27113	8883	BBC3	NAE1	-0.0281939276284362	0.520795067222605	1
917	8883	CD3G	NAE1	-0.310974568603191	3.81694967322574e-13	6.46476766154243e-09
57472	8883	CNOT6	NAE1	-0.15747739958987	0.000308098576523652	1
57055	8883	DAZ2	NAE1	-0.023256809343062	0.596359369259247	1
55173	8883	MRPS10	NAE1	0.374665779629891	8.2948325702891e-19	1.48319901189339e-14
53942	8883	CNTN5	NAE1	0.132887812027389	0.00237029711903995	1
51237	8883	MZB1	NAE1	-0.155600989043873	0.000364045410437271	1
29933	8883	GPR132	NAE1	-0.191605777931073	1.06348433375046e-05	0.14886653703839
940	8883	CD28	NAE1	-0.313116099292236	2.58208982651442e-13	4.38335568949088e-09
23591	8883	FAM215A	NAE1	-0.105209139116221	0.0162903012885001	1
23148	8883	NACAD	NAE1	0.118042975591774	0.00698946650089755	1
10913	8883	EDAR	NAE1	0.0486797678127083	0.267376184522574	1
10281	8883	DSCR4	NAE1	-0.00172388972905856	0.968687854486278	1
10120	8883	ACTR1B	NAE1	-0.0667279862069212	0.128226705238434	1
9747	8883	FAM115A	NAE1	-0.20192086835859	3.38765152374346e-06	0.0487178165629546
9721	8883	GPRIN2	NAE1	-0.184017849898596	2.37521604855995e-05	0.32606965914631
9529	8883	BAG5	NAE1	0.0894076039730994	0.0413551343997658	1
8850	8883	KAT2B	NAE1	-0.266157314854188	6.7330015862912e-10	1.08327262521839e-05
8739	8883	HRK	NAE1	0.0614118107056653	0.161601621383651	1
8357	8883	HIST1H3H	NAE1	0.0866958391907774	0.0479465863201736	1
8352	8883	HIST1H3C	NAE1	0.130420401684343	0.0028590550397776	1
664	8883	BNIP3	NAE1	0.138482883493639	0.00153165423116512	1
575	8883	BAI1	NAE1	-0.028921967126831	0.510083063457086	1
5606	8883	MAP2K3	NAE1	-0.064751650093062	0.13994839979383	1
4054	8883	LTBP3	NAE1	-0.131296714773358	0.00267584120419712	1
