Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.00793261883212308	0.854889222813534	1
25836	142	NIPBL	PARP1	0.142306186798745	0.000975270804074756	1
9564	1956	BCAR1	EGFR	-0.205243655601028	1.72907906368089e-06	0.0227840748221231
1849	1956	DUSP7	EGFR	-0.0425878398493067	0.325962878683421	1
1659	3845	DHX8	KRAS	0.134242504608603	0.00187754343242753	1
9181	7157	ARHGEF2	TP53	0.426882363546147	4.62373029244499e-25	8.36710233720846e-21
4486	6194	MST1R	RPS6	-0.0533742618129504	0.21817946057167	1
56935	8883	SMCO4	NAE1	-0.0281817442214123	0.515796127569951	1
51011	8883	FAHD2A	NAE1	0.188563712808799	1.15129022065199e-05	0.144452383985205
26164	8883	MTG2	NAE1	0.0345579652548309	0.425481596229322	1
11321	8883	GPN1	NAE1	0.408584769847007	6.65596403595777e-23	1.1858931122866e-18
9283	8883	GPR37L1	NAE1	0.0407760057890911	0.346985254285244	1
4616	8883	GADD45B	NAE1	-0.0224312801945422	0.605014952086065	1
2074	8883	ERCC6	NAE1	-0.0965674126486766	0.0256473379807539	1
414061	8883	DNAJB3	NAE1	0.0943912356778741	0.0291838405766866	1
166979	8883	CDC20B	NAE1	0.014653852144133	0.735474508982739	1
94235	8883	GNG8	NAE1	-0.111732699423751	0.00976579451360257	1
84332	8883	DYDC2	NAE1	0.0209671626350133	0.628786070188111	1
80306	8883	MED28	NAE1	0.283986943623592	2.30542241429078e-11	3.5503505180078e-07
30850	8883	CDR2L	NAE1	-0.111709295098999	0.00978122811109765	1
666	8883	BOK	NAE1	-0.097760436643048	0.0238702506517721	1
2287	8883	FKBP3	NAE1	0.345367355095783	2.09768575308421e-16	3.50754034773211e-12
353135	8883	LCE1E	NAE1	0.0240047856623089	0.579925856425279	1
260436	8883	FDCSP	NAE1	-0.0559675164703381	0.196598428410534	1
146956	8883	EME1	NAE1	0.0367194821608839	0.397091470310241	1
84541	8883	KBTBD8	NAE1	0.0576742057073706	0.18327271108929	1
84445	8883	LZTS2	NAE1	-0.087917118702574	0.042275248663038	1
80162	8883	ATHL1	NAE1	-0.0435606418731837	0.315023704704947	1
57054	8883	DAZ3	NAE1	0.0869951955693221	0.0444922608874696	1
55259	8883	CASC1	NAE1	0.0970385969552397	0.0249322872648602	1
54584	8883	GNB1L	NAE1	0.0735588825111195	0.0894796707336143	1
