Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.0590880043113071	0.439982860426936	1
25836	142	NIPBL	PARP1	0.109924646729973	0.149947189537202	1
9564	1956	BCAR1	EGFR	0.646490112809452	7.49816811115998e-22	1.48906120519526e-17
1849	1956	DUSP7	EGFR	-0.0608815520135317	0.426203511092658	1
1659	3845	DHX8	KRAS	0.0549073349926487	0.473066159548386	1
9181	7157	ARHGEF2	TP53	0.197672883622615	0.00913641648465779	1
4486	6194	MST1R	RPS6	-0.00451265512125429	0.953012073529419	1
56935	8883	SMCO4	NAE1	-0.361121511468141	1.05491082885734e-06	0.0174113032302904
51011	8883	FAHD2A	NAE1	0.228343285892788	0.00251411811607377	1
26164	8883	MTG2	NAE1	-0.13907373810023	0.0680241643302661	1
11321	8883	GPN1	NAE1	0.594684977375591	6.32449696142611e-18	1.23511101159691e-13
9283	8883	GPR37L1	NAE1	-0.0892425990581985	0.242958100084029	1
4616	8883	GADD45B	NAE1	-0.1095386723458	0.151391962704301	1
2074	8883	ERCC6	NAE1	0.228327321111147	0.00251592099471215	1
414061	8883	DNAJB3	NAE1	-0.0438896135629643	0.566394795471052	1
166979	8883	CDC20B	NAE1	0.0544385740104824	0.476858394314469	1
94235	8883	GNG8	NAE1	-0.0656837628886949	0.390561494628477	1
84332	8883	DYDC2	NAE1	0.230240192369511	0.00230805716945183	1
80306	8883	MED28	NAE1	0.316827574788728	2.16714309517506e-05	0.339786365892497
30850	8883	CDR2L	NAE1	0.116696113888936	0.126264641326365	1
666	8883	BOK	NAE1	0.0743191495589514	0.331163050418572	1
2287	8883	FKBP3	NAE1	0.502766528273869	1.80486292528463e-12	3.37437172511215e-08
353135	8883	LCE1E	NAE1	-0.00310451348940737	0.967664554229515	1
260436	8883	FDCSP	NAE1	0.0694239771266782	0.364086579850245	1
146956	8883	EME1	NAE1	0.227798322303021	0.00257632698852023	1
84541	8883	KBTBD8	NAE1	0.171862908725436	0.0237613792429805	1
84445	8883	LZTS2	NAE1	-0.0666492057485611	0.383619043839165	1
80162	8883	ATHL1	NAE1	-0.00172733702488922	0.982005334761949	1
55259	8883	CASC1	NAE1	0.104499053076449	0.171232193162774	1
54584	8883	GNB1L	NAE1	-0.156050739162701	0.0403425110077364	1
51009	8883	DERL2	NAE1	-0.169893286541018	0.0254391251422285	1
28976	8883	ACAD9	NAE1	0.0144377750214729	0.85045930422358	1
22900	8883	CARD8	NAE1	0.038266424473577	0.617180316151214	1
10299	8883	MARCH6	NAE1	0.227197591876661	0.00264651570407921	1
10296	8883	MAEA	NAE1	-0.166074580107545	0.0289826967063769	1
10116	8883	FEM1B	NAE1	0.177727383905158	0.0193174655648727	1
9973	8883	CCS	NAE1	-0.089247480988922	0.242932221661476	1
9538	8883	EI24	NAE1	0.220415928257601	0.00356798855914114	1
8943	8883	AP3D1	NAE1	-0.352470114620983	1.97524897681988e-06	0.0322992712689587
8535	8883	CBX4	NAE1	-0.207807547628338	0.00607914642661852	1
8348	8883	HIST1H2BO	NAE1	0.00938504388371005	0.90246441421777	1
3936	8883	LCP1	NAE1	-0.354858828365347	1.66421420885876e-06	0.0272797993116127
3354	8883	HTR1E	NAE1	0.0925165007767456	0.226032972398688	1
3091	8883	HIF1A	NAE1	-0.0097834544326045	0.898345693020539	1
2730	8883	GCLM	NAE1	0.350151272189992	2.32958606086403e-06	0.0379699232060228
2073	8883	ERCC5	NAE1	0.262916503908311	0.000474514451780542	1
1773	8883	DNASE1	NAE1	-0.0627221281166029	0.41232577932095	1
388759	8883	C1orf229	NAE1	0.0721631067730324	0.345421495096804	1
341640	8883	FREM2	NAE1	0.0912441611178194	0.232508719990125	1
255252	8883	LRRC57	NAE1	0.214777461800217	0.00454442348075534	1
137797	8883	LYPD2	NAE1	-0.0925060653154963	0.226085560837016	1
137075	8883	CLDN23	NAE1	-0.116819699210964	0.125860951071579	1
114897	8883	C1QTNF1	NAE1	0.15772872168492	0.0382142731505996	1
91750	8883	LIN52	NAE1	0.317999418766684	2.01240429681902e-05	0.315987722686522
91319	8883	DERL3	NAE1	0.100612199911442	0.187805823330166	1
1018	8883	CDK3	NAE1	-0.160080051614139	0.035391793559053	1
3916	8883	LAMP1	NAE1	-0.448890835748078	5.85589939539262e-10	1.05535018903766e-05
222611	8883	GPR111	NAE1	0.0547710398529161	0.474167075997821	1
79852	8883	EPHX3	NAE1	-0.119371730832369	0.117745669819184	1
51390	8883	AIG1	NAE1	0.190197758792944	0.0121951058149085	1
2355	8883	FOSL2	NAE1	-0.393358627711177	8.61599020964104e-08	0.00147391201876552
1973	8883	EIF4A1	NAE1	0.0950495951318196	0.213522639388291	1
1852	8883	DUSP9	NAE1	0.251031267599725	0.000864190976495489	1
143244	8883	EIF5AL1	NAE1	-0.0383762260830948	0.616169945938955	1
125972	8883	CALR3	NAE1	0.0771708313799894	0.312892562790157	1
84253	8883	GARNL3	NAE1	0.140281139062857	0.0656439229734731	1
56605	8883	ERO1LB	NAE1	0.217759123184825	0.0040016776820502	1
958	8883	CD40	NAE1	-0.0917097603497253	0.23012401596452	1
27113	8883	BBC3	NAE1	-0.300481112535665	5.89978455680843e-05	0.903080022110667
917	8883	CD3G	NAE1	0.0538612989897927	0.481551077695549	1
57472	8883	CNOT6	NAE1	0.469984559786105	6.85782223050867e-11	1.25614729796227e-06
