Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.0299348140501169	0.498719206907382	1
25836	142	NIPBL	PARP1	0.212661809147059	1.17005457473871e-06	0.0177912764542138
9564	1956	BCAR1	EGFR	0.0478280638573255	0.279582268828127	1
1849	1956	DUSP7	EGFR	0.257886892910988	3.07936021016617e-09	5.00334446947799e-05
1659	3845	DHX8	KRAS	0.135489996880386	0.00210158076672039	1
9181	7157	ARHGEF2	TP53	0.196932861962182	7.00192659203658e-06	0.103355438425052
4486	6194	MST1R	RPS6	-0.152027180122737	0.000550204035131471	1
56935	8883	SMCO4	NAE1	0.00557814562638032	0.899704210606032	1
51011	8883	FAHD2A	NAE1	0.139000088348287	0.00159983753719941	1
26164	8883	MTG2	NAE1	0.0603419874851697	0.172370682572456	1
11321	8883	GPN1	NAE1	0.280049307758515	1.0668958589974e-10	1.77787525943327e-06
9283	8883	GPR37L1	NAE1	0.073716093044071	0.0953495258818532	1
4616	8883	GADD45B	NAE1	-0.060835034385132	0.168884604225854	1
2074	8883	ERCC6	NAE1	-0.0130297401486778	0.768444827372463	1
414061	8883	DNAJB3	NAE1	0.0548367444727339	0.215001893881525	1
166979	8883	CDC20B	NAE1	-0.0574685735826401	0.193760855344007	1
94235	8883	GNG8	NAE1	0.0201658750161896	0.648620673093614	1
84332	8883	DYDC2	NAE1	-0.0399806934118098	0.366157025019477	1
80306	8883	MED28	NAE1	0.355236383075918	1.0543920952945e-16	1.88103549800539e-12
30850	8883	CDR2L	NAE1	-0.0991732802429323	0.0246856811872549	1
666	8883	BOK	NAE1	-0.102162237830253	0.0206492093984395	1
2287	8883	FKBP3	NAE1	0.299075806973613	4.63525629227445e-12	7.8822533250127e-08
353135	8883	LCE1E	NAE1	-0.0482750210079222	0.27510816985677	1
260436	8883	FDCSP	NAE1	-0.0399481810580914	0.366547249872889	1
146956	8883	EME1	NAE1	0.187403549869404	1.93596838140476e-05	0.2799023085835
84541	8883	KBTBD8	NAE1	-0.0217061786757059	0.623785312948947	1
84445	8883	LZTS2	NAE1	-0.118025770473223	0.00744926014126026	1
80162	8883	ATHL1	NAE1	-0.122456557003587	0.00548169962324755	1
57054	8883	DAZ3	NAE1	0.0137845518517842	0.755446049067922	1
55259	8883	CASC1	NAE1	-0.0754427650496848	0.0878208951584847	1
54584	8883	GNB1L	NAE1	0.0996657592947172	0.0239770584449399	1
51009	8883	DERL2	NAE1	0.214614518888154	9.2792578701906e-07	0.0141620033614849
28976	8883	ACAD9	NAE1	0.105844355633059	0.016475232773057	1
22900	8883	CARD8	NAE1	-0.195465680814569	8.21555453220633e-06	0.120908316050481
10299	8883	MARCH6	NAE1	0.0670489485626784	0.129360653537657	1
10296	8883	MAEA	NAE1	0.050422443652337	0.254293526098732	1
10116	8883	FEM1B	NAE1	0.106956777916172	0.0153690410438267	1
9973	8883	CCS	NAE1	0.0205700867135055	0.642064005268341	1
9538	8883	EI24	NAE1	0.188937090213601	1.64923315394906e-05	0.239402684627245
8943	8883	AP3D1	NAE1	-0.14600922657608	0.000910675901031745	1
8535	8883	CBX4	NAE1	-0.0864188392416478	0.0504380607620686	1
8348	8883	HIST1H2BO	NAE1	0.157252910581146	0.000349853312233176	1
3936	8883	LCP1	NAE1	-0.0720206545014222	0.103234868779709	1
3354	8883	HTR1E	NAE1	0.0793932872379	0.0723881997778627	1
3091	8883	HIF1A	NAE1	0.0940768651807828	0.0331449540285036	1
2730	8883	GCLM	NAE1	0.248328865256919	1.19571723487903e-08	0.000191972402059829
