Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.119209368989827	0.0521346663010838	1
25836	142	NIPBL	PARP1	0.278643665938133	3.93356840641752e-06	0.0696280943619965
9564	1956	BCAR1	EGFR	0.0313579778422587	0.610647216865059	1
1849	1956	DUSP7	EGFR	0.16517091511992	0.00693942541843364	1
1659	3845	DHX8	KRAS	0.131563709841825	0.0319555667224321	1
9181	7157	ARHGEF2	TP53	0.147029281595053	0.0164068153772456	1
4486	6194	MST1R	RPS6	0.0194842511292805	0.751765709775615	1
56935	8883	SMCO4	NAE1	0.00589156409801514	0.923809029733887	1
51011	8883	FAHD2A	NAE1	0.0595740518715977	0.33309055374861	1
26164	8883	MTG2	NAE1	-0.0525237532214805	0.39355322587642	1
11321	8883	GPN1	NAE1	0.209087127311948	0.000599014670917078	1
9283	8883	GPR37L1	NAE1	0.0776423100618018	0.206858690881689	1
4616	8883	GADD45B	NAE1	-0.215369844961835	0.000403722344975826	1
2074	8883	ERCC6	NAE1	0.0845718628322189	0.169040137458504	1
414061	8883	DNAJB3	NAE1	-0.0943387309560408	0.124833716087193	1
166979	8883	CDC20B	NAE1	-0.0894932236286027	0.145492503893255	1
94235	8883	GNG8	NAE1	-0.00782230671158495	0.898956953737458	1
84332	8883	DYDC2	NAE1	0.0300000285013844	0.62619380682809	1
80306	8883	MED28	NAE1	0.286181198945594	2.08394681708752e-06	0.0371130088655116
30850	8883	CDR2L	NAE1	-0.247098202282023	4.61273126083603e-05	0.793712668052056
666	8883	BOK	NAE1	-0.110284777436422	0.0725421085003888	1
2287	8883	FKBP3	NAE1	0.248863170356353	4.0522663523735e-05	0.698246015177477
353135	8883	LCE1E	NAE1	0.108451198120064	0.0774517527121135	1
260436	8883	FDCSP	NAE1	-0.0795063958447645	0.196131961046141	1
146956	8883	EME1	NAE1	0.054785006912269	0.373478211577604	1
84541	8883	KBTBD8	NAE1	-0.057678961967755	0.348724851460774	1
84445	8883	LZTS2	NAE1	0.00979985608470603	0.873604330979196	1
80162	8883	ATHL1	NAE1	-0.136930236995925	0.025530701563047	1
55259	8883	CASC1	NAE1	-0.0163832711414657	0.790268057807114	1
54584	8883	GNB1L	NAE1	-0.118283492942669	0.0540008701986608	1
51009	8883	DERL2	NAE1	0.132947762368664	0.0301790483923785	1
28976	8883	ACAD9	NAE1	-0.14935764327856	0.0147618778754547	1
22900	8883	CARD8	NAE1	-0.142135477847666	0.020393503152018	1
10299	8883	MARCH6	NAE1	-0.0311694530473793	0.612795363790684	1
10296	8883	MAEA	NAE1	0.0841793140027214	0.171034226465496	1
10116	8883	FEM1B	NAE1	0.10872114826215	0.0767124692873691	1
9973	8883	CCS	NAE1	-0.0967971908172273	0.115261035730162	1
9538	8883	EI24	NAE1	0.0391435861247005	0.525004784349784	1
8943	8883	AP3D1	NAE1	-0.0955273415800962	0.120131276108867	1
8535	8883	CBX4	NAE1	-0.110594708953677	0.0717378126949928	1
8348	8883	HIST1H2BO	NAE1	-0.054058044716286	0.379862215058357	1
3936	8883	LCP1	NAE1	-0.0195578312728611	0.750859127708667	1
3354	8883	HTR1E	NAE1	0.00164914317179157	0.978643132703464	1
3091	8883	HIF1A	NAE1	-0.0620425252314896	0.313411710250265	1
2730	8883	GCLM	NAE1	0.0123754921850997	0.840780428672432	1
2073	8883	ERCC5	NAE1	-0.124372601053074	0.0426850385247171	1
1773	8883	DNASE1	NAE1	0.0227349155352148	0.712055628035129	1
388759	8883	C1orf229	NAE1	0.0714965297688747	0.245207317615461	1
341640	8883	FREM2	NAE1	0.0417487797209248	0.497777404761243	1
255252	8883	LRRC57	NAE1	0.158899432370202	0.00943490494820475	1
137797	8883	LYPD2	NAE1	-0.101859333034479	0.0973646712696933	1
137075	8883	CLDN23	NAE1	-0.127633270113832	0.0374936308408734	1
114897	8883	C1QTNF1	NAE1	-0.101493848900447	0.0985779936537302	1
91750	8883	LIN52	NAE1	0.145365469556677	0.0176782997508766	1
91319	8883	DERL3	NAE1	-0.105030923097492	0.087327463724708	1
1018	8883	CDK3	NAE1	-0.14305943239358	0.0195821307388234	1
3916	8883	LAMP1	NAE1	-0.150555120632754	0.0139735796469889	1
222611	8883	GPR111	NAE1	-0.00100731722262626	0.986953987834804	1
79852	8883	EPHX3	NAE1	-0.0237504405899186	0.699801729809363	1
51390	8883	AIG1	NAE1	0.10201162416578	0.0968626165875553	1
2355	8883	FOSL2	NAE1	-0.290721713324385	1.40856195023707e-06	0.0251639592409853
1973	8883	EIF4A1	NAE1	0.156231605223332	0.0107183806765013	1
1852	8883	DUSP9	NAE1	0.0798918321817796	0.193965491751391	1
143244	8883	EIF5AL1	NAE1	0.121455725890649	0.0478288509085631	1
125972	8883	CALR3	NAE1	-0.0298236156244567	0.628225861481566	1
84253	8883	GARNL3	NAE1	-0.0489832001313301	0.426260379810017	1
