Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.0579185435052271	0.209104745090844	1
25836	142	NIPBL	PARP1	0.0289552859443398	0.530309639302293	1
9564	1956	BCAR1	EGFR	0.0316428423505774	0.492834551184064	1
1849	1956	DUSP7	EGFR	0.202816372209262	8.96031829117065e-06	0.124673868703348
1659	3845	DHX8	KRAS	0.0150070493154373	0.745036988856361	1
9181	7157	ARHGEF2	TP53	0.11340255133581	0.0136952741159449	1
4486	6194	MST1R	RPS6	-0.0635636574106025	0.167990680440531	1
56935	8883	SMCO4	NAE1	-0.142645317742565	0.00189166747672542	1
51011	8883	FAHD2A	NAE1	-0.225312172697217	7.5835765711286e-07	0.0111114563920176
26164	8883	MTG2	NAE1	-0.048922636161253	0.28883139880532	1
11321	8883	GPN1	NAE1	0.216778476286334	1.99638174014331e-06	0.0287478970580637
9283	8883	GPR37L1	NAE1	0.024860023074322	0.590059971219661	1
4616	8883	GADD45B	NAE1	-0.17868946228467	9.48923256886287e-05	1
2074	8883	ERCC6	NAE1	0.17812473644006	9.99320894415498e-05	1
414061	8883	DNAJB3	NAE1	0.104514877008357	0.0231563065634387	1
166979	8883	CDC20B	NAE1	-0.0538722636675736	0.242746183383842	1
94235	8883	GNG8	NAE1	-0.0308051095022619	0.504362023953418	1
84332	8883	DYDC2	NAE1	0.0862784672184566	0.0610722880412676	1
80306	8883	MED28	NAE1	0.211261134386447	3.65744800067406e-06	0.0519686786415778
57135	8883	DAZ4	NAE1	0.0169458592224321	0.713463513594905	1
30850	8883	CDR2L	NAE1	-0.00661357064778457	0.886050004242179	1
666	8883	BOK	NAE1	-0.244487403788581	7.47379112534616e-08	0.00113063512144237
2287	8883	FKBP3	NAE1	0.304748293450439	1.33450866466615e-11	2.19967063196922e-07
353135	8883	LCE1E	NAE1	-0.0543486915082187	0.23859886530067	1
260436	8883	FDCSP	NAE1	0.0210358306753763	0.648495060627429	1
146956	8883	EME1	NAE1	0.190568307416241	3.0798844047793e-05	0.417170342627356
84541	8883	KBTBD8	NAE1	0.0375856760195263	0.415248275722512	1
84445	8883	LZTS2	NAE1	-0.174496023620322	0.000138830034773346	1
80162	8883	ATHL1	NAE1	-0.0344290645326887	0.455529293048463	1
57054	8883	DAZ3	NAE1	0.0236934040243175	0.607629798434944	1
55259	8883	CASC1	NAE1	0.128193889091335	0.00528357936564396	1
54584	8883	GNB1L	NAE1	-0.161588592978583	0.000424310069851263	1
51009	8883	DERL2	NAE1	0.112285416230287	0.0146580824677737	1
28976	8883	ACAD9	NAE1	-0.13693100124535	0.00287244749692885	1
22900	8883	CARD8	NAE1	0.0539784044186941	0.2418178790935	1
10299	8883	MARCH6	NAE1	0.109124077439532	0.017712127791689	1
10296	8883	MAEA	NAE1	-0.032838574487796	0.476627823308016	1
10116	8883	FEM1B	NAE1	0.195968358529139	1.80387088435982e-05	0.246931885360016
9973	8883	CCS	NAE1	-0.231230249118364	3.78861838248963e-07	0.00561511130468789
9538	8883	EI24	NAE1	0.0654806117288578	0.15550417203942	1
8943	8883	AP3D1	NAE1	-0.200918178315482	1.09043227376828e-05	0.151166626112496
8535	8883	CBX4	NAE1	-0.230006764240872	4.37983298777671e-07	0.00647908693881809
