Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.0470188820946875	0.287807143092169	1
25836	142	NIPBL	PARP1	0.236158070098911	6.21304983684128e-08	0.000840252859934415
9564	1956	BCAR1	EGFR	-0.198068580292106	6.18195038557913e-06	0.0756918005210309
1849	1956	DUSP7	EGFR	-0.00778743635361428	0.860330103816161	1
1659	3845	DHX8	KRAS	0.351034833494269	2.53632698940728e-16	4.16008352802582e-12
9181	7157	ARHGEF2	TP53	0.0733162670939645	0.0971643268528387	1
4486	6194	MST1R	RPS6	-0.0142872269866614	0.746827254844896	1
56935	8883	SMCO4	NAE1	0.0436855468439101	0.323390838827554	1
51011	8883	FAHD2A	NAE1	-0.368377908562071	6.21553918391758e-18	1.04247023192666e-13
26164	8883	MTG2	NAE1	-0.0999045416258179	0.0236398553767429	1
11321	8883	GPN1	NAE1	0.0926687913164034	0.035878747192864	1
9283	8883	GPR37L1	NAE1	-0.0669984089325851	0.129650348445331	1
4616	8883	GADD45B	NAE1	-0.151365370429679	0.000582086537451192	1
2074	8883	ERCC6	NAE1	0.0707726896864942	0.109362716940445	1
414061	8883	DNAJB3	NAE1	-0.024587398011359	0.578472105617441	1
166979	8883	CDC20B	NAE1	0.094739618400768	0.0319210096808182	1
94235	8883	GNG8	NAE1	-0.0768383179491941	0.0820918493135226	1
84332	8883	DYDC2	NAE1	0.000184579776492093	0.996672478276665	1
80306	8883	MED28	NAE1	0.223449773549621	3.16285487353952e-07	0.00415346101993209
30850	8883	CDR2L	NAE1	-0.206839176315265	2.30611383535297e-06	0.0289647897720333
666	8883	BOK	NAE1	-0.0343552153744678	0.437477644405507	1
2287	8883	FKBP3	NAE1	0.246757350367409	1.48661991330695e-08	0.000205941456590411
353135	8883	LCE1E	NAE1	0.0318043340816732	0.472278330635789	1
260436	8883	FDCSP	NAE1	-0.0498921511192991	0.259329027780875	1
146956	8883	EME1	NAE1	-0.0592747872860431	0.180099633084527	1
84541	8883	KBTBD8	NAE1	-0.025173024395854	0.56945399062922	1
84445	8883	LZTS2	NAE1	0.184674961726402	2.56676233012823e-05	0.302159261502695
80162	8883	ATHL1	NAE1	0.069842653911046	0.114113188605514	1
55259	8883	CASC1	NAE1	-0.0982460538119089	0.0260690400580596	1
54584	8883	GNB1L	NAE1	-0.0120324904383053	0.785718158030095	1
51009	8883	DERL2	NAE1	-0.133162993746898	0.00250954548883612	1
28976	8883	ACAD9	NAE1	-0.0532256163876507	0.228803702659732	1
22900	8883	CARD8	NAE1	-0.180481187249604	3.92842435611631e-05	0.455186530143196
10299	8883	MARCH6	NAE1	0.125535355847939	0.00440432650065753	1
10296	8883	MAEA	NAE1	-0.115056632440145	0.00909969632973643	1
10116	8883	FEM1B	NAE1	0.116105889711942	0.00848255724386491	1
9973	8883	CCS	NAE1	-0.174927163539802	6.80220491673248e-05	0.774431029769993
9538	8883	EI24	NAE1	-0.118697175179247	0.0071153993731749	1
8943	8883	AP3D1	NAE1	-0.279129849053918	1.23416786233668e-10	1.82224884874011e-06
8535	8883	CBX4	NAE1	-0.00868939488374597	0.844348681717715	1
8348	8883	HIST1H2BO	NAE1	-0.0463415935297159	0.294815304963471	1
3936	8883	LCP1	NAE1	-0.0296656115475396	0.502590165422149	1
3354	8883	HTR1E	NAE1	-0.134303822536751	0.00230127974678517	1
3091	8883	HIF1A	NAE1	0.18290705165856	3.07473834061457e-05	0.359529154168061
2730	8883	GCLM	NAE1	-0.000404446732391504	0.992708895156536	1
2073	8883	ERCC5	NAE1	0.171329546441378	9.62180433662784e-05	1
1773	8883	DNASE1	NAE1	-0.168128031167326	0.000130244739513716	1
388759	8883	C1orf229	NAE1	-0.0403939791458072	0.361219164637748	1
341640	8883	FREM2	NAE1	-0.190359881219102	1.41968908246319e-05	0.170092948969914
255252	8883	LRRC57	NAE1	0.177294317468731	5.39399860297992e-05	0.619069219664006
137797	8883	LYPD2	NAE1	-0.101022710945058	0.0221148393888464	1
137075	8883	CLDN23	NAE1	-0.0657367838731386	0.137045950412378	1
114897	8883	C1QTNF1	NAE1	-0.013778861250693	0.755543795522542	1
91750	8883	LIN52	NAE1	0.0352855584640863	0.425161177107182	1
91319	8883	DERL3	NAE1	-0.161638861310854	0.000236630425889018	1
1018	8883	CDK3	NAE1	0.0319460413085885	0.470306028623184	1
3916	8883	LAMP1	NAE1	-0.197810213151966	6.36001808804876e-06	0.0778021012711005
222611	8883	GPR111	NAE1	-0.0439663558650133	0.320287334432949	1
79852	8883	EPHX3	NAE1	0.12214325425324	0.00560366149439662	1
51390	8883	AIG1	NAE1	0.174388210051576	7.16808941748133e-05	0.814725043190928
2355	8883	FOSL2	NAE1	-0.102846290843704	0.0198105766078648	1
1973	8883	EIF4A1	NAE1	-0.0277510038933299	0.530571416797016	1
1852	8883	DUSP9	NAE1	-0.00525280478351349	0.905525700182658	1
143244	8883	EIF5AL1	NAE1	-0.0974923570660258	0.0272422443879777	1
125972	8883	CALR3	NAE1	-0.195119136226359	8.53017662111669e-06	0.103547814003736
84253	8883	GARNL3	NAE1	-0.225300653044787	2.51006168884531e-07	0.00331403444778246
56605	8883	ERO1LB	NAE1	-0.326849029264416	3.09024036221982e-14	4.9202807047264e-10
958	8883	CD40	NAE1	0.260629690703204	2.06500664942355e-09	2.94139547143891e-05
27113	8883	BBC3	NAE1	0.0685625551725837	0.120914825490318	1
917	8883	CD3G	NAE1	-0.0884923264907645	0.0451397763279201	1
57472	8883	CNOT6	NAE1	0.146473909527316	0.000876505077229283	1
57055	8883	DAZ2	NAE1	0.0163475847310824	0.711839926057247	1
55173	8883	MRPS10	NAE1	-0.148886055738055	0.000717399474060319	1
53942	8883	CNTN5	NAE1	-0.160712781946341	0.000257212021579824	1
51237	8883	MZB1	NAE1	-0.172977452011994	8.21567762906567e-05	0.928535885637003
