Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	-0.0402407802078708	0.59698945129774	1
25836	142	NIPBL	PARP1	0.187020842381826	0.0132036380690925	1
9564	1956	BCAR1	EGFR	0.0373537275888969	0.623586687599891	1
1849	1956	DUSP7	EGFR	0.164172683375514	0.0299320329924066	1
1659	3845	DHX8	KRAS	0.181982064615118	0.0159391592680381	1
9181	7157	ARHGEF2	TP53	0.207884807743811	0.00576998686169605	1
4486	6194	MST1R	RPS6	-0.102903011994082	0.175378188089677	1
56935	8883	SMCO4	NAE1	-0.0219054979491116	0.773545521577056	1
51011	8883	FAHD2A	NAE1	-0.112389819974127	0.138654953905586	1
26164	8883	MTG2	NAE1	0.00068514636611085	0.992820188013468	1
11321	8883	GPN1	NAE1	0.0825396179634804	0.27751190890118	1
9283	8883	GPR37L1	NAE1	-0.186434369370843	0.0134992923511436	1
4616	8883	GADD45B	NAE1	-0.12620258415925	0.0960725577451804	1
2074	8883	ERCC6	NAE1	0.0521390012659828	0.493181440770686	1
414061	8883	DNAJB3	NAE1	-0.0862696796193601	0.256300039450943	1
166979	8883	CDC20B	NAE1	0.0772829926373493	0.309366374548999	1
94235	8883	GNG8	NAE1	-0.168533932940706	0.0257813802403594	1
84332	8883	DYDC2	NAE1	-0.141504552677321	0.0617725927104016	1
80306	8883	MED28	NAE1	0.169648235695273	0.0248036803453438	1
30850	8883	CDR2L	NAE1	-0.147413861115059	0.0515615982373816	1
666	8883	BOK	NAE1	-0.299184694977001	5.7707166233524e-05	0.952456778684313
2287	8883	FKBP3	NAE1	0.109542924321657	0.148998474872904	1
353135	8883	LCE1E	NAE1	0.0859365228865472	0.258147904335567	1
260436	8883	FDCSP	NAE1	-0.10968973816752	0.148451169381737	1
146956	8883	EME1	NAE1	0.190368769189527	0.0116221351116002	1
84541	8883	KBTBD8	NAE1	0.132113037010212	0.0813661258610025	1
84445	8883	LZTS2	NAE1	-0.171014353002532	0.0236486212970335	1
80162	8883	ATHL1	NAE1	-0.166517180148754	0.0276350316083042	1
55259	8883	CASC1	NAE1	0.0541065156255134	0.47698904896191	1
54584	8883	GNB1L	NAE1	-0.0867702014013346	0.253541032564335	1
51009	8883	DERL2	NAE1	-0.104288521183672	0.16960666412313	1
28976	8883	ACAD9	NAE1	-0.0563864653947891	0.458592099711428	1
22900	8883	CARD8	NAE1	-0.0983626174476268	0.195308902373191	1
10299	8883	MARCH6	NAE1	0.0748529213504977	0.324871347571785	1
10296	8883	MAEA	NAE1	0.143053634936547	0.0589474717505164	1
10116	8883	FEM1B	NAE1	0.293493417227446	8.08404169617064e-05	1
9973	8883	CCS	NAE1	-0.319602069616818	1.62327207161533e-05	0.274657634517313
9538	8883	EI24	NAE1	0.112990967729072	0.136542670386045	1
8943	8883	AP3D1	NAE1	0.202450317395935	0.00721284956152277	1
8535	8883	CBX4	NAE1	0.0738682772069482	0.331294120163401	1
8348	8883	HIST1H2BO	NAE1	-0.0286870455532657	0.706283668782426	1
3936	8883	LCP1	NAE1	-0.0475455732346563	0.532092586382985	1
3354	8883	HTR1E	NAE1	-0.211700903987263	0.0049170486557908	1
3091	8883	HIF1A	NAE1	0.0610593656998807	0.42214804326542	1
2730	8883	GCLM	NAE1	0.0230543628157817	0.762015467425806	1
2073	8883	ERCC5	NAE1	-0.139281773592291	0.0660195320754083	1
1773	8883	DNASE1	NAE1	-0.139741495193517	0.0651221362735037	1
388759	8883	C1orf229	NAE1	0.0322623214707283	0.671680903675122	1
341640	8883	FREM2	NAE1	0.249866847990162	0.000853618073094062	1
255252	8883	LRRC57	NAE1	0.427095468336715	3.76332637194915e-09	6.96742244502665e-05
137797	8883	LYPD2	NAE1	-0.12099893828952	0.110698693982364	1
137075	8883	CLDN23	NAE1	0.0216071883446995	0.776547601546195	1
114897	8883	C1QTNF1	NAE1	-0.218872726614196	0.00361391164190226	1
91750	8883	LIN52	NAE1	0.113268570087333	0.13557559290815	1
91319	8883	DERL3	NAE1	-0.0493370251408301	0.51673583250832	1
1018	8883	CDK3	NAE1	-0.217041960745829	0.00391299670182194	1
3916	8883	LAMP1	NAE1	-0.125602758843002	0.0976759773830366	1
