Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.000671152090795764	0.988080258348295	1
25836	142	NIPBL	PARP1	0.43522881536545	1.96082608878911e-24	3.46870135106793e-20
9564	1956	BCAR1	EGFR	-0.133627691409676	0.00280863594903882	1
1849	1956	DUSP7	EGFR	0.0632686908426508	0.158609586875077	1
1659	3845	DHX8	KRAS	0.395774751677986	4.01310241619865e-20	6.85478023710891e-16
9181	7157	ARHGEF2	TP53	-0.118727771445669	0.00799578826270779	1
4486	6194	MST1R	RPS6	-0.17922905424134	5.76511576029248e-05	0.676651636785529
56935	8883	SMCO4	NAE1	0.123454089173004	0.00580446511660528	1
51011	8883	FAHD2A	NAE1	0.0425252639761591	0.343621551196465	1
26164	8883	MTG2	NAE1	0.0576029861207017	0.199387446246919	1
11321	8883	GPN1	NAE1	0.24643469122694	2.5218968360318e-08	0.000351930703468237
9283	8883	GPR37L1	NAE1	-0.175457719317718	8.27694874049271e-05	0.960291592871964
4616	8883	GADD45B	NAE1	-0.137854275982544	0.00204686492251592	1
2074	8883	ERCC6	NAE1	0.140576962641845	0.00166171912568879	1
414061	8883	DNAJB3	NAE1	0.0298803820111522	0.505870823880506	1
166979	8883	CDC20B	NAE1	0.0154449612118693	0.730979554891967	1
94235	8883	GNG8	NAE1	-0.0455236516165681	0.31064256081792	1
84332	8883	DYDC2	NAE1	0.0413743834363415	0.356851271236022	1
80306	8883	MED28	NAE1	0.151474012686189	0.000695429113211404	1
57135	8883	DAZ4	NAE1	-0.0385058427251262	0.391195280270836	1
30850	8883	CDR2L	NAE1	0.10537194998482	0.0186670723712612	1
666	8883	BOK	NAE1	-0.13564101921745	0.00241833222641635	1
2287	8883	FKBP3	NAE1	0.165194856463871	0.000213334324920644	1
353135	8883	LCE1E	NAE1	-0.102428282771797	0.022251205395511	1
260436	8883	FDCSP	NAE1	-0.0019455950285237	0.965455483860084	1
146956	8883	EME1	NAE1	0.0893559217613207	0.0462574629054369	1
84541	8883	KBTBD8	NAE1	-0.0364915484707281	0.41646664095739	1
84445	8883	LZTS2	NAE1	-0.21078518507743	2.08030029063363e-06	0.0268317131485925
80162	8883	ATHL1	NAE1	-0.092478011707642	0.0391156882468849	1
57054	8883	DAZ3	NAE1	-0.0169484893756677	0.705952397665608	1
55259	8883	CASC1	NAE1	0.00538409365975913	0.904602048368804	1
54584	8883	GNB1L	NAE1	-0.0734634381234762	0.101526621333517	1
51009	8883	DERL2	NAE1	-0.0263366041554001	0.557640219569223	1
28976	8883	ACAD9	NAE1	0.1017758926376	0.0231218397932093	1
22900	8883	CARD8	NAE1	-0.0805974841939599	0.0723338636859887	1
10299	8883	MARCH6	NAE1	0.0675645943300374	0.132144802552513	1
10296	8883	MAEA	NAE1	0.196281220445644	1.02335605615632e-05	0.126568677025414
10116	8883	FEM1B	NAE1	0.023021400333335	0.608286776180061	1
9973	8883	CCS	NAE1	-0.0379319362557932	0.398299218073974	1
9538	8883	EI24	NAE1	0.119727751092019	0.00747855672610264	1
8943	8883	AP3D1	NAE1	0.11652211793123	0.00925106282652431	1
8535	8883	CBX4	NAE1	-0.104758363626005	0.0193695633725913	1
8348	8883	HIST1H2BO	NAE1	0.23516579720179	1.09992108218243e-07	0.00149743256128316
3936	8883	LCP1	NAE1	0.0191550047562647	0.669797189153191	1
3354	8883	HTR1E	NAE1	-0.0118005405952599	0.792791657946187	1
3091	8883	HIF1A	NAE1	0.0964596349898062	0.0313818961836471	1
2730	8883	GCLM	NAE1	0.0774786744396113	0.0841210411382543	1
2073	8883	ERCC5	NAE1	0.0486028534565934	0.279016495639135	1
1773	8883	DNASE1	NAE1	0.035417563114364	0.430324457038676	1
388759	8883	C1orf229	NAE1	0.0778558426263487	0.0826180334942487	1
341640	8883	FREM2	NAE1	-0.109246021528365	0.0147237864952843	1
255252	8883	LRRC57	NAE1	0.198705043387033	7.90396377865563e-06	0.0984675807544919
137797	8883	LYPD2	NAE1	-0.0665150253628352	0.138272363997746	1
137075	8883	CLDN23	NAE1	-0.106171599191696	0.0177849785526755	1
114897	8883	C1QTNF1	NAE1	-0.180879364508094	4.90979187351475e-05	0.57920291171975
91750	8883	LIN52	NAE1	-0.0181412229252516	0.686320184112831	1
91319	8883	DERL3	NAE1	-0.0452336699761959	0.313737915455188	1
1018	8883	CDK3	NAE1	-0.0621422943524685	0.166170014251819	1
3916	8883	LAMP1	NAE1	0.068022103525571	0.129540339856519	1
222611	8883	GPR111	NAE1	-0.0368838023208951	0.411471512791386	1
79852	8883	EPHX3	NAE1	-0.129258586236801	0.00385971528861044	1
51390	8883	AIG1	NAE1	0.144664906721228	0.00120682696399873	1
2355	8883	FOSL2	NAE1	-0.154285441696888	0.000550134226659917	1
1973	8883	EIF4A1	NAE1	0.238331593983157	7.32616988168128e-08	0.00100412484398324
1852	8883	DUSP9	NAE1	0.0664354607737554	0.138745631380183	1
143244	8883	EIF5AL1	NAE1	0.0680561064371207	0.129348369321634	1
125972	8883	CALR3	NAE1	-0.177912890922005	6.54617535194088e-05	0.765378822148927
84253	8883	GARNL3	NAE1	-0.183483438289559	3.79968702059273e-05	0.45277070537383
56605	8883	ERO1LB	NAE1	0.108027380121332	0.0158768984243989	1
958	8883	CD40	NAE1	-0.179396390532476	5.67236718799851e-05	0.666227490354886
27113	8883	BBC3	NAE1	-0.117049535453008	0.00893592230123166	1
917	8883	CD3G	NAE1	-0.0913687766621993	0.0415380642342593	1
57472	8883	CNOT6	NAE1	0.160540997647567	0.000321941547542213	1
57055	8883	DAZ2	NAE1	0.0324934174446304	0.469379405712867	1
55173	8883	MRPS10	NAE1	0.102213277457621	0.0225349431051522	1
