Interaction_A (Entrez Gene_ID)	Interaction_B (Entrez Gene_ID)	Interaction A (Gene Symbol)	Interaction B (Gene Symbol)	Correlation	P value	Adjusted P value
3481	7157	IGF2	TP53	0.0170161787532274	0.703417569212885	1
25836	142	NIPBL	PARP1	0.197991813695405	7.68382525241398e-06	0.117170651274061
9564	1956	BCAR1	EGFR	0.0751346618713235	0.0923204556407298	1
1849	1956	DUSP7	EGFR	0.212084398420679	1.59120146213577e-06	0.0249611773365238
1659	3845	DHX8	KRAS	0.0459268256001221	0.303944578493825	1
9181	7157	ARHGEF2	TP53	0.150103647440568	0.000732141401224485	1
4486	6194	MST1R	RPS6	-0.0919142901999748	0.0393357145926861	1
56935	8883	SMCO4	NAE1	0.0405112163021717	0.364574127721691	1
51011	8883	FAHD2A	NAE1	0.344515207864885	1.83254235388839e-15	3.32349881301199e-11
26164	8883	MTG2	NAE1	-0.0531445290207539	0.234131677780656	1
11321	8883	GPN1	NAE1	0.3218496573258	1.38115246391836e-13	2.46397599563035e-09
9283	8883	GPR37L1	NAE1	0.0400147369304811	0.370486244270974	1
4616	8883	GADD45B	NAE1	-0.224071680353019	3.82221882174679e-07	0.00610943456468008
2074	8883	ERCC6	NAE1	0.0264787783664088	0.55352687363022	1
414061	8883	DNAJB3	NAE1	0.102637724123215	0.0213193765384263	1
166979	8883	CDC20B	NAE1	-0.0214412945636827	0.631414517161034	1
94235	8883	GNG8	NAE1	-0.105984159129306	0.0174180007474403	1
84332	8883	DYDC2	NAE1	-0.0657721142428663	0.140740227419326	1
80306	8883	MED28	NAE1	0.16035299756175	0.000305269530974045	1
57135	8883	DAZ4	NAE1	-0.0466036992034998	0.296865655064262	1
30850	8883	CDR2L	NAE1	-0.0620449239478704	0.164711330174485	1
666	8883	BOK	NAE1	-0.150485833725622	0.00070932469943185	1
2287	8883	FKBP3	NAE1	0.261712250357306	2.53529349477944e-09	4.27577247894553e-05
353135	8883	LCE1E	NAE1	-0.00736479772334955	0.869127788769084	1
260436	8883	FDCSP	NAE1	-0.0612104520152559	0.170475559697456	1
146956	8883	EME1	NAE1	0.249332916261379	1.44645418231265e-08	0.000240140323347547
84541	8883	KBTBD8	NAE1	-0.0839661086652083	0.0598628372529788	1
84445	8883	LZTS2	NAE1	-0.137417977797425	0.00200856789417717	1
80162	8883	ATHL1	NAE1	-0.0963605952938163	0.0307110654855284	1
57054	8883	DAZ3	NAE1	0.0785583465725962	0.0783709062927674	1
55259	8883	CASC1	NAE1	-0.122816464095014	0.00581416801734047	1
54584	8883	GNB1L	NAE1	0.108536241672314	0.0148771402566088	1
51009	8883	DERL2	NAE1	0.122644605389224	0.00588371017384181	1
28976	8883	ACAD9	NAE1	-0.0124349705077115	0.780855601545988	1
22900	8883	CARD8	NAE1	-0.265290963336806	1.50640331104744e-09	2.54943696361668e-05
10299	8883	MARCH6	NAE1	-0.00679925441054205	0.879097222726937	1
10296	8883	MAEA	NAE1	-0.124973469745999	0.00500205627843324	1
10116	8883	FEM1B	NAE1	0.19413000706596	1.16075031845051e-05	0.175679560697485
9973	8883	CCS	NAE1	-0.0928425518340939	0.0373828115271974	1
9538	8883	EI24	NAE1	0.131731053132938	0.00307661022704846	1
8943	8883	AP3D1	NAE1	-0.194149576340652	1.15834993795304e-05	0.175339430107951
8535	8883	CBX4	NAE1	-0.0448648834425221	0.315274155486194	1
8348	8883	HIST1H2BO	NAE1	0.0271304118398678	0.543804719426372	1
3936	8883	LCP1	NAE1	-0.2428515662659	3.47143226242695e-08	0.000571883750912215
3354	8883	HTR1E	NAE1	-0.0459629140163535	0.303564358255911	1
3091	8883	HIF1A	NAE1	-0.082269179338755	0.0652354703718104	1
2730	8883	GCLM	NAE1	0.266219041055929	1.31449176954622e-09	2.2267490576113e-05
2073	8883	ERCC5	NAE1	-0.256201430417339	5.56685933281224e-09	9.32560275432706e-05
1773	8883	DNASE1	NAE1	-0.0350421369136293	0.432923499260322	1
388759	8883	C1orf229	NAE1	0.171135519416988	0.000114734893111777	1
341640	8883	FREM2	NAE1	0.15367005491844	0.000543295878425173	1
255252	8883	LRRC57	NAE1	0.164635502800606	0.000208458921027726	1
137797	8883	LYPD2	NAE1	-0.0820654794627961	0.0659062620228229	1
137075	8883	CLDN23	NAE1	-0.0179969866721893	0.687199297210202	1
114897	8883	C1QTNF1	NAE1	-0.259854485288235	3.31181875760228e-09	5.57312860529311e-05
91750	8883	LIN52	NAE1	0.261600869383936	2.5763848450035e-09	4.3445577641294e-05
91319	8883	DERL3	NAE1	-0.219078035447645	6.9921221669596e-07	0.0110895057567979
1018	8883	CDK3	NAE1	-0.00559774641653618	0.900339095352905	1
3916	8883	LAMP1	NAE1	-0.0602626988654461	0.177203553483018	1
222611	8883	GPR111	NAE1	-0.0923107061981898	0.038491404419652	1
79852	8883	EPHX3	NAE1	-0.100466825915364	0.0242381045437356	1
51390	8883	AIG1	NAE1	0.209424034442094	2.16004272617554e-06	0.033705306699243
2355	8883	FOSL2	NAE1	-0.301217626062303	5.21169991807143e-12	9.14601218622355e-08
1973	8883	EIF4A1	NAE1	0.207884866882177	2.57323990743042e-06	0.0400447594394323
1852	8883	DUSP9	NAE1	0.0292274888190639	0.513103363900596	1
143244	8883	EIF5AL1	NAE1	0.223561034078482	4.06835159339899e-07	0.00649634382433951
125972	8883	CALR3	NAE1	0.083148100276429	0.0624052130127074	1
84253	8883	GARNL3	NAE1	-0.126045487025661	0.00463777989131367	1
56605	8883	ERO1LB	NAE1	-0.0282053072487215	0.527954978224089	1
958	8883	CD40	NAE1	-0.166688775729907	0.000173034579129731	1
27113	8883	BBC3	NAE1	-0.0907830460099322	0.0418317619679181	1
917	8883	CD3G	NAE1	-0.155704211462265	0.000456965199197979	1
57472	8883	CNOT6	NAE1	0.00114478071575905	0.979567703450344	1
57055	8883	DAZ2	NAE1	0.0695247938118142	0.119403075078176	1
55173	8883	MRPS10	NAE1	0.3001727689571	6.21704329567248e-12	1.08984768973139e-07
53942	8883	CNTN5	NAE1	0.100098172081076	0.0247666157093865	1
51237	8883	MZB1	NAE1	-0.19995568061193	6.21036534458755e-06	0.0950496415989125
29933	8883	GPR132	NAE1	-0.305439139176419	2.53703033321859e-12	4.46821782286458e-08
940	8883	CD28	NAE1	-0.237745295146295	6.80029468809303e-08	0.00111123615498128
